Photo,Zone A,Zone B,pattern_energy_diff,Background,Model,Diff100
KurtR_30APRIL_MSPEC,a1,a1,0.021913345,Random,Dog,2.1913345
ShakeyR_05APRIL_MSPEC,a1,a1,0.044271639,Random,Dog,4.4271639
ShakeyR_07MAY_MSPEC,a1,a1,0.076262066,Random,Dog,7.6262066
ShakeyR_11JUNE_MSPEC,a1,a1,0.027638064,Random,Dog,2.7638064
ShakeyR_12APRIL_MSPEC,a1,a1,0.036828651,Random,Dog,3.6828651
ShakeyR_25JUNE_MSPEC,a1,a1,0.053922743,Random,Dog,5.3922743
ShaniaR_10JUNE_MSPEC,a1,a1,0.098369827,Random,Dog,9.8369827
TYR_04JUNE_MSPEC,a1,a1,0.110579967,Random,Dog,11.0579967
UnIDF_2SEP22,a1,a1,0.042436772,Random,Dog,4.2436772
WillyR_04JUNE_MSPEC,a1,a1,0.055680303,Random,Dog,5.5680303
WillyR_21JUNE_MSPEC,a1,a1,0.028289204,Random,Dog,2.8289204
WillyR_26APR_MSPEC,a1,a1,0.018102166,Random,Dog,1.8102166
WillyR_30APRIL_MSPEC,a1,a1,0.052853833,Random,Dog,5.2853833
YvetteR_16APRIL_MSPEC,a1,a1,0.042745769,Random,Dog,4.2745769
YvetteR_23APR_MSPEC,a1,a1,0.039931684,Random,Dog,3.9931684
ZoeR_11JUNE_MSPEC,a1,a1,0.052948228,Random,Dog,5.2948228
ZoeR_12APR_MSPEC,a1,a1,0.062366148,Random,Dog,6.2366148
Alice_21JUN22_MSPEC,a1,b1,0.037352776,Selected,Human,3.7352776
Alice_26APR_MSPEC,a1,b1,0.133184949,Selected,Human,13.3184949
Alice_4JUN22_MSPEC,a1,b1,0.060371773,Selected,Human,6.0371773
Bowie_30APR_MSPEC,a1,b1,0.029054485,Selected,Human,2.9054485
CATEST19_14JUN22_MSPEC,a1,b1,0.01871246,Selected,Human,1.871246
Dusty_13AUG22,a1,b1,0.033350975,Selected,Human,3.3350975
Dusty_14JUN22_MSPEC,a1,b1,0.016417008,Selected,Human,1.6417008
Dusty_30APR_MSPEC,a1,b1,0.073254339,Selected,Human,7.3254339
ElCoco_10JUL22_MSPEC,a1,b1,0.017942818,Selected,Human,1.7942818
ElCoco_10JUN22_MSPEC,a1,b1,0.106423642,Selected,Human,10.6423642
Elcoco_14MAY22_MSPEC,a1,b1,0.040004701,Selected,Human,4.0004701
ElCoco_19SEP22,a1,b1,0.017900564,Selected,Human,1.7900564
ElCoco_2SEP22,a1,b1,0.042814802,Selected,Human,4.2814802
ElCoco_6MAY22_MSPEC,a1,b1,0.13960263,Selected,Human,13.960263
Eliane_12APR_MSPEC,a1,b1,0.354991211,Selected,Human,35.4991211
Eliane_19APR_MSPEC,a1,b1,0.046548952,Selected,Human,4.6548952
Gibbard_23APR_MSPEC,a1,b1,0.690949654,Selected,Human,69.0949654
Gibbard_30APR_MSPEC,a1,b1,0.076858026,Selected,Human,7.6858026
Hank_14MAY22_MSPEC,a1,b1,0.675827949,Selected,Human,67.5827949
Hank_19MAY22_MSPEC,a1,b1,0.045920402,Selected,Human,4.5920402
Hank_30JULY22_MSPEC,a1,b1,0.017262436,Selected,Human,1.7262436
Hank_5JUL22_MSPEC,a1,b1,0.040737283,Selected,Human,4.0737283
Hank_9JUL22_MSPEC,a1,b1,0.069574081,Selected,Human,6.9574081
Kurt_14MAY22_MSPEC,a1,b1,0.056859704,Selected,Human,5.6859704
Kurt_30APR22_MSPEC,a1,b1,0.081535304,Selected,Human,8.1535304
Kurt_7MAY22_MSPEC,a1,b1,0.057200798,Selected,Human,5.7200798
Shakey_11JUN22_MSPEC,a1,b1,0.033704239,Selected,Human,3.3704239
Shakey_12APR22_MSPEC,a1,b1,0.170599216,Selected,Human,17.0599216
Shakey_25JUN22_MSPEC,a1,b1,0.094135331,Selected,Human,9.4135331
Shakey_5APR22_MSPEC,a1,b1,0.023236363,Selected,Human,2.3236363
Shakey_7MAY22_MSPEC,a1,b1,0.145357281,Selected,Human,14.5357281
Shania_10JUN22_MSPEC,a1,b1,0.020615026,Selected,Human,2.0615026
Ty_4JUN22_MSPEC,a1,b1,0.148042917,Selected,Human,14.8042917
UnIDF_2SEP22,a1,b1,0.037408765,Selected,Human,3.7408765
Willy_21JUN22_MSPEC,a1,b1,0.020442948,Selected,Human,2.0442948
Willy_26APR_MSPEC,a1,b1,0.0281286,Selected,Human,2.81286
Willy_30APR22_MSPEC,a1,b1,0.058128099,Selected,Human,5.8128099
Willy_4JUN22_MSPEC,a1,b1,0.204128388,Selected,Human,20.4128388
Yvette_16APR22_MSPEC,a1,b1,0.107289274,Selected,Human,10.7289274
Yvette_23APR_MSPEC,a1,b1,0.060682311,Selected,Human,6.0682311
