Photo,Zone A,Zone B,JND_diff,Selected_random,Model,JND_Type
Kurt_14MAY22_MSPEC,a1,a1,3.706071219,Random,DomesticDog,Color
Kurt_30APR22_MSPEC,a1,a1,0.337697005,Random,DomesticDog,Color
Shakey_5APR22_MSPEC,a1,a1,0.591396529,Random,DomesticDog,Color
Shakey_7MAY22_MSPEC,a1,a1,0.492314366,Random,DomesticDog,Color
Shakey_11JUN22_MSPEC,a1,a1,1.517777945,Random,DomesticDog,Color
ShakeyR_12APRIL_MSPEC,a1,a1,0.208826167,Random,DomesticDog,Color
ShakeyR_25JUNE_MSPEC,a1,a1,0.867928077,Random,DomesticDog,Color
Shania_10JUN22_MSPEC,a1,a1,1.034947125,Random,DomesticDog,Color
Ty_4JUN22_MSPEC,a1,a1,3.256914818,Random,DomesticDog,Color
UnIDF_2SEP22_R,a1,a1,0.363228443,Random,DomesticDog,Color
Willy_4JUN22_MSPEC,a1,a1,0.813214994,Random,DomesticDog,Color
Willy_21JUN22_MSPEC,a1,a1,0.303755623,Random,DomesticDog,Color
Willy_26APR_MSPEC,a1,a1,0.034918745,Random,DomesticDog,Color
Willy_30APR22_MSPEC,a1,a1,1.327008017,Random,DomesticDog,Color
Yvette_16APR22_MSPEC,a1,a1,0.046375121,Random,DomesticDog,Color
Yvette_23APR_MSPEC,a1,a1,0.235055551,Random,DomesticDog,Color
Zoe_11JUN22_MSPEC,a1,a1,1.792802469,Random,DomesticDog,Color
ZoeR_12APR_MSPEC,a1,a1,0.032857569,Random,DomesticDog,Color
Alice_21JUN22_MSPEC,a1,b1,1.629491085,Selected,DomesticDog,Luminance
Alice_26APR_MSPEC,a1,b1,0.293141904,Selected,DomesticDog,Luminance
Alice_4JUN22_MSPEC,a1,b1,14.17653755,Selected,DomesticDog,Luminance
Bowie_30APR_MSPEC,a1,b1,2.566844664,Selected,DomesticDog,Luminance
CATEST19_14JUN22_MSPEC,a1,b1,8.389851531,Selected,DomesticDog,Luminance
Dusty_13AUG22,a1,b1,0.967438292,Selected,DomesticDog,Luminance
Dusty_14JUN22_MSPEC,a1,b1,8.997397021,Selected,DomesticDog,Luminance
Dusty_30APR_MSPEC,a1,b1,8.244466228,Selected,DomesticDog,Luminance
ElCoco_10JUL22_MSPEC,a1,b1,4.705487809,Selected,DomesticDog,Luminance
ElCoco_10JUN22_MSPEC,a1,b1,1.557476364,Selected,DomesticDog,Luminance
Elcoco_14MAY22_MSPEC,a1,b1,7.014187113,Selected,DomesticDog,Luminance
ElCoco_19SEP22,a1,b1,2.302625686,Selected,DomesticDog,Luminance
ElCoco_2SEP22,a1,b1,1.00056671,Selected,DomesticDog,Luminance
ElCoco_6MAY22_MSPEC,a1,b1,1.168572736,Selected,DomesticDog,Luminance
Eliane_12APR_MSPEC,a1,b1,4.302553499,Selected,DomesticDog,Luminance
Eliane_19APR_MSPEC,a1,b1,5.277136878,Selected,DomesticDog,Luminance
Gibbard_23APR_MSPEC,a1,b1,4.888470313,Selected,DomesticDog,Luminance
Gibbard_30APR_MSPEC,a1,b1,2.632931527,Selected,DomesticDog,Luminance
Hank_14MAY22_MSPEC,a1,b1,15.98665255,Selected,DomesticDog,Luminance
Hank_19MAY22_MSPEC,a1,b1,9.339583182,Selected,DomesticDog,Luminance
Hank_30JULY22_MSPEC,a1,b1,0.486341858,Selected,DomesticDog,Luminance
Hank_5JUL22_MSPEC,a1,b1,1.786234972,Selected,DomesticDog,Luminance
Hank_9JUL22_MSPEC,a1,b1,1.696579616,Selected,DomesticDog,Luminance
Kurt_14MAY22_MSPEC,a1,b1,0.551990663,Selected,DomesticDog,Luminance
Kurt_30APR22_MSPEC,a1,b1,3.275483142,Selected,DomesticDog,Luminance
Kurt_7MAY22_MSPEC,a1,b1,6.365574871,Selected,DomesticDog,Luminance
Shakey_11JUN22_MSPEC,a1,b1,0.469838778,Selected,DomesticDog,Luminance
Shakey_12APR22_MSPEC,a1,b1,8.08595968,Selected,DomesticDog,Luminance
Shakey_25JUN22_MSPEC,a1,b1,10.06458197,Selected,DomesticDog,Luminance
Shakey_5APR22_MSPEC,a1,b1,5.186852472,Selected,DomesticDog,Luminance
Shakey_7MAY22_MSPEC,a1,b1,7.266777091,Selected,DomesticDog,Luminance
Shania_10JUN22_MSPEC,a1,b1,5.648803508,Selected,DomesticDog,Luminance
Ty_4JUN22_MSPEC,a1,b1,2.089531542,Selected,DomesticDog,Luminance
UnIDF_2SEP22,a1,b1,10.45450841,Selected,DomesticDog,Luminance
Willy_21JUN22_MSPEC,a1,b1,0.080727372,Selected,DomesticDog,Luminance
Willy_26APR_MSPEC,a1,b1,4.589886825,Selected,DomesticDog,Luminance
Willy_30APR22_MSPEC,a1,b1,7.584307582,Selected,DomesticDog,Luminance
Willy_4JUN22_MSPEC,a1,b1,6.28689842,Selected,DomesticDog,Luminance
Yvette_16APR22_MSPEC,a1,b1,7.968920617,Selected,DomesticDog,Luminance
Yvette_23APR_MSPEC,a1,b1,1.36985511,Selected,DomesticDog,Luminance
Zoe_11JUN22_MSPEC,a1,b1,6.123946121,Selected,DomesticDog,Luminance
Zoe_12APR_MSPEC,a1,b1,10.62492549,Selected,DomesticDog,Luminance
Alice_4JUN22_MSPEC,a1,a1,4.573545543,Random,DomesticDog,Luminance
Alice_21JUN22_MSPEC,a1,a1,6.270544634,Random,DomesticDog,Luminance
Alice_26APR_MSPEC,a1,a1,9.868913145,Random,DomesticDog,Luminance
Bowie_30APR_MSPEC,a1,a1,20.10195738,Random,DomesticDog,Luminance
CATEST19_14JUN22_MSPEC,a1,a1,5.992028367,Random,DomesticDog,Luminance
Dusty_14JUN22_MSPEC,a1,a1,2.546861715,Random,DomesticDog,Luminance
Dusty_30APR_MSPEC,a1,a1,6.811570824,Random,DomesticDog,Luminance
Dusty_13AUG22_R,a1,a1,2.799772946,Random,DomesticDog,Luminance
ElCoco_6MAY22_MSPEC,a1,a1,11.11895595,Random,DomesticDog,Luminance
ElCoco_10JUN22_MSPEC,a1,a1,8.827483465,Random,DomesticDog,Luminance
Elcoco_14MAY22_MSPEC,a1,a1,4.229874281,Random,DomesticDog,Luminance
ELCoco_10JULY_MSPEC,a1,a1,6.882246283,Random,DomesticDog,Luminance
ElCoco_19SEP22_R,a1,a1,9.726130045,Random,DomesticDog,Luminance
ElCoco_2SEP22_R,a1,a1,1.837842595,Random,DomesticDog,Luminance
Eliane_12APR_MSPEC,a1,a1,16.44013589,Random,DomesticDog,Luminance
Eliane_19APR_MSPEC,a1,a1,0.307007883,Random,DomesticDog,Luminance
Gibbard_23APR_MSPEC,a1,a1,17.8439507,Random,DomesticDog,Luminance
Gibbard_30APR_MSPEC,a1,a1,1.165007604,Random,DomesticDog,Luminance
Hank_14MAY22_MSPEC,a1,a1,11.55610584,Random,DomesticDog,Luminance
Hank_19MAY22_MSPEC,a1,a1,7.846156666,Random,DomesticDog,Luminance
Hank_5JUL22_MSPEC,a1,a1,9.048782202,Random,DomesticDog,Luminance
Hank_9JUL22_MSPEC,a1,a1,3.568671141,Random,DomesticDog,Luminance
Hank_30JULY22_MSPEC,a1,a1,2.555436766,Random,DomesticDog,Luminance
Kurt_7MAY22_MSPEC,a1,a1,1.829097426,Random,DomesticDog,Luminance
Kurt_14MAY22_MSPEC,a1,a1,18.79280545,Random,DomesticDog,Luminance
Kurt_30APR22_MSPEC,a1,a1,12.53848022,Random,DomesticDog,Luminance
Shakey_5APR22_MSPEC,a1,a1,9.095693764,Random,DomesticDog,Luminance
Shakey_7MAY22_MSPEC,a1,a1,0.761714187,Random,DomesticDog,Luminance
Shakey_11JUN22_MSPEC,a1,a1,3.8132436,Random,DomesticDog,Luminance
Shakey_12APR22_MSPEC,a1,a1,17.67513534,Random,DomesticDog,Luminance
Shakey_25JUN22_MSPEC,a1,a1,14.95585303,Random,DomesticDog,Luminance
Shania_10JUN22_MSPEC,a1,a1,6.941921347,Random,DomesticDog,Luminance
Ty_4JUN22_MSPEC,a1,a1,19.61927531,Random,DomesticDog,Luminance
UnIDF_2SEP22_R,a1,a1,0.142370594,Random,DomesticDog,Luminance
Willy_4JUN22_MSPEC,a1,a1,1.30609476,Random,DomesticDog,Luminance
Willy_21JUN22_MSPEC,a1,a1,8.239075361,Random,DomesticDog,Luminance
Willy_26APR_MSPEC,a1,a1,0.174469932,Random,DomesticDog,Luminance
Willy_30APR22_MSPEC,a1,a1,19.1589505,Random,DomesticDog,Luminance
Yvette_16APR22_MSPEC,a1,a1,3.907726479,Random,DomesticDog,Luminance
Yvette_23APR_MSPEC,a1,a1,12.85562631,Random,DomesticDog,Luminance
Zoe_11JUN22_MSPEC,a1,a1,3.91990149,Random,DomesticDog,Luminance
Zoe_12APR_MSPEC,a1,a1,15.45044872,Random,DomesticDog,Luminance
Alice_21JUN22_MSPEC,a1,b1,0.276329789,Selected,Human,Color
Alice_26APR_MSPEC,a1,b1,0.221548736,Selected,Human,Color
Alice_4JUN22_MSPEC,a1,b1,0.377205983,Selected,Human,Color
Bowie_30APR_MSPEC,a1,b1,0.219875248,Selected,Human,Color
CATEST19_14JUN22_MSPEC,a1,b1,0.150614801,Selected,Human,Color
Dusty_13AUG22,a1,b1,0.295308157,Selected,Human,Color
Dusty_14JUN22_MSPEC,a1,b1,0.272689432,Selected,Human,Color
Dusty_30APR_MSPEC,a1,b1,0.297024656,Selected,Human,Color
ElCoco_10JUL22_MSPEC,a1,b1,0.440963947,Selected,Human,Color
ElCoco_10JUN22_MSPEC,a1,b1,0.509720375,Selected,Human,Color
Elcoco_14MAY22_MSPEC,a1,b1,0.453795381,Selected,Human,Color
ElCoco_19SEP22,a1,b1,0.279329836,Selected,Human,Color
ElCoco_2SEP22,a1,b1,0.385427172,Selected,Human,Color
ElCoco_6MAY22_MSPEC,a1,b1,0.362588943,Selected,Human,Color
Eliane_12APR_MSPEC,a1,b1,0.785525565,Selected,Human,Color
Eliane_19APR_MSPEC,a1,b1,0.863116725,Selected,Human,Color
Gibbard_23APR_MSPEC,a1,b1,1.138950063,Selected,Human,Color
Gibbard_30APR_MSPEC,a1,b1,0.587487648,Selected,Human,Color
Hank_14MAY22_MSPEC,a1,b1,0.963754317,Selected,Human,Color
Hank_19MAY22_MSPEC,a1,b1,0.207294672,Selected,Human,Color
Hank_30JULY22_MSPEC,a1,b1,0.426088591,Selected,Human,Color
Hank_5JUL22_MSPEC,a1,b1,0.398650869,Selected,Human,Color
Hank_9JUL22_MSPEC,a1,b1,0.225978204,Selected,Human,Color
Kurt_14MAY22_MSPEC,a1,b1,0.352949699,Selected,Human,Color
